Pizza_Id,Order_Id,Pizza_Name_Id,Quantity,Order Date,Order Date,Order Date,,Order Time,Unit Price,Total Price,Pizza Size,Pizza Category,Pizza Ingredients,pizza_name
23,9,Veggie_Veg_S,1,01/01/2015,01/01/2015,01/01/2015,,12:52 pm,$12.00,$12.00,Small,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza
24,10,Mexicana_L,1,01/01/2015,01/01/2015,01/01/2015,,1:00 pm,$20.25,$20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
25,10,Southw_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,1:00 pm,$20.75,$20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza
26,11,Bbq_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,1:02 pm,$20.75,$20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
27,11,Cali_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,1:02 pm,$20.75,$20.75,Large,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
28,11,Cali_Ckn_M,1,01/01/2015,01/01/2015,01/01/2015,,1:02 pm,$16.75,$16.75,Medium,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
29,11,Pepperoni_L,1,01/01/2015,01/01/2015,01/01/2015,,1:02 pm,$15.25,$15.25,Large,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
30,12,Cali_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,1:04 pm,$20.75,$20.75,Large,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
31,12,Cali_Ckn_S,1,01/01/2015,01/01/2015,01/01/2015,,1:04 pm,$12.75,$12.75,Small,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
32,12,Ckn_Pesto_L,1,01/01/2015,01/01/2015,01/01/2015,,1:04 pm,$20.75,$20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza
33,12,Ital_Supr_M,1,01/01/2015,01/01/2015,01/01/2015,,1:04 pm,$16.50,$16.50,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
34,13,Mexicana_L,1,01/01/2015,01/01/2015,01/01/2015,,1:11 pm,$20.25,$20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
35,14,The_Greek_S,1,01/01/2015,01/01/2015,01/01/2015,,1:14 pm,$12.00,$12.00,Small,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
36,15,Big_Meat_S,1,01/01/2015,01/01/2015,01/01/2015,,1:33 pm,$12.00,$12.00,Small,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
37,15,Five_Cheese_L,1,01/01/2015,01/01/2015,01/01/2015,,1:33 pm,$18.50,$18.50,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
38,15,Soppressata_L,1,01/01/2015,01/01/2015,01/01/2015,,1:33 pm,$20.75,$20.75,Large,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",The Soppressata Pizza
39,15,The_Greek_S,1,01/01/2015,01/01/2015,01/01/2015,,1:33 pm,$12.00,$12.00,Small,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
40,16,Four_Cheese_L,1,01/01/2015,01/01/2015,01/01/2015,,1:34 pm,$17.95,$17.95,Large,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
41,16,Napolitana_S,1,01/01/2015,01/01/2015,01/01/2015,,1:34 pm,$12.00,$12.00,Small,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza
42,16,Thai_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,1:34 pm,$20.75,$20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
43,17,Bbq_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,1:53 pm,$20.75,$20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
44,17,Calabrese_M,1,01/01/2015,01/01/2015,01/01/2015,,1:53 pm,$16.25,$16.25,Medium,Supreme,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",The Calabrese Pizza
45,17,Five_Cheese_L,1,01/01/2015,01/01/2015,01/01/2015,,1:53 pm,$18.50,$18.50,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
46,17,Four_Cheese_M,1,01/01/2015,01/01/2015,01/01/2015,,1:53 pm,$14.75,$14.75,Medium,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
47,17,Ital_Supr_M,1,01/01/2015,01/01/2015,01/01/2015,,1:53 pm,$16.50,$16.50,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
48,17,Ital_Veggie_S,1,01/01/2015,01/01/2015,01/01/2015,,1:53 pm,$12.75,$12.75,Small,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",The Italian Vegetables Pizza
49,17,Mediterraneo_M,2,01/01/2015,01/01/2015,01/01/2015,,1:53 pm,$16.00,$32.00,Medium,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",The Mediterranean Pizza
50,17,Mexicana_L,1,01/01/2015,01/01/2015,01/01/2015,,1:53 pm,$20.25,$20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
51,17,Peppr_Salami_S,1,01/01/2015,01/01/2015,01/01/2015,,1:53 pm,$12.50,$12.50,Small,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza
52,17,Spinach_Fet_L,1,01/01/2015,01/01/2015,01/01/2015,,1:53 pm,$20.25,$20.25,Large,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza
53,18,Napolitana_L,1,01/01/2015,01/01/2015,01/01/2015,,1:57 pm,$20.50,$20.50,Large,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza
54,19,Ital_Cpcllo_L,1,01/01/2015,01/01/2015,01/01/2015,,1:59 pm,$20.50,$20.50,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
55,19,Sicilian_L,1,01/01/2015,01/01/2015,01/01/2015,,1:59 pm,$20.25,$20.25,Large,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza
56,20,Big_Meat_S,1,01/01/2015,01/01/2015,01/01/2015,,2:03 pm,$12.00,$12.00,Small,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
57,20,Five_Cheese_L,1,01/01/2015,01/01/2015,01/01/2015,,2:03 pm,$18.50,$18.50,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
58,21,Ital_Cpcllo_L,1,01/01/2015,01/01/2015,01/01/2015,,2:14 pm,$20.50,$20.50,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
59,22,Five_Cheese_L,1,01/01/2015,01/01/2015,01/01/2015,,2:16 pm,$18.50,$18.50,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
60,22,Ital_Cpcllo_M,1,01/01/2015,01/01/2015,01/01/2015,,2:16 pm,$16.00,$16.00,Medium,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
61,22,Southw_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,2:16 pm,$20.75,$20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza
62,23,Southw_Ckn_S,1,01/01/2015,01/01/2015,01/01/2015,,2:19 pm,$12.75,$12.75,Small,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza
63,24,Bbq_Ckn_M,1,01/01/2015,01/01/2015,01/01/2015,,2:23 pm,$16.75,$16.75,Medium,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
64,24,Ital_Cpcllo_M,1,01/01/2015,01/01/2015,01/01/2015,,2:23 pm,$16.00,$16.00,Medium,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
65,24,Pepperoni_M,1,01/01/2015,01/01/2015,01/01/2015,,2:23 pm,$12.50,$12.50,Medium,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
66,24,Prsc_Argla_S,1,01/01/2015,01/01/2015,01/01/2015,,2:23 pm,$12.50,$12.50,Small,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza
67,25,Sicilian_M,1,01/01/2015,01/01/2015,01/01/2015,,2:44 pm,$16.25,$16.25,Medium,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza
68,25,Thai_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,2:44 pm,$20.75,$20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
69,26,Classic_Dlx_S,1,01/01/2015,01/01/2015,01/01/2015,,2:54 pm,$12.00,$12.00,Small,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
70,26,Veggie_Veg_L,1,01/01/2015,01/01/2015,01/01/2015,,2:54 pm,$20.25,$20.25,Large,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza
71,27,Bbq_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,3:11 pm,$20.75,$20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
72,27,Classic_Dlx_M,1,01/01/2015,01/01/2015,01/01/2015,,3:11 pm,$16.00,$16.00,Medium,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
73,27,Spinach_Fet_L,1,01/01/2015,01/01/2015,01/01/2015,,3:11 pm,$20.25,$20.25,Large,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza
74,28,Ckn_Alfredo_S,1,01/01/2015,01/01/2015,01/01/2015,,3:35 pm,$12.75,$12.75,Small,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza
75,29,Green_Garden_S,1,01/01/2015,01/01/2015,01/01/2015,,3:41 pm,$12.00,$12.00,Small,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
76,30,Thai_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,3:41 pm,$20.75,$20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
77,31,Mexicana_M,1,01/01/2015,01/01/2015,01/01/2015,,3:50 pm,$16.00,$16.00,Medium,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
78,31,Pepperoni_S,1,01/01/2015,01/01/2015,01/01/2015,,3:50 pm,$9.75,$9.75,Small,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
79,32,Big_Meat_S,1,01/01/2015,01/01/2015,01/01/2015,,3:53 pm,$12.00,$12.00,Small,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
80,32,Green_Garden_L,1,01/01/2015,01/01/2015,01/01/2015,,3:53 pm,$20.25,$20.25,Large,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
81,32,Ital_Cpcllo_L,1,01/01/2015,01/01/2015,01/01/2015,,3:53 pm,$20.50,$20.50,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
82,32,Ital_Supr_M,1,01/01/2015,01/01/2015,01/01/2015,,3:53 pm,$16.50,$16.50,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
83,33,Bbq_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,3:54 pm,$20.75,$20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
84,33,Green_Garden_S,1,01/01/2015,01/01/2015,01/01/2015,,3:54 pm,$12.00,$12.00,Small,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
85,34,The_Greek_S,1,01/01/2015,01/01/2015,01/01/2015,,4:21 pm,$12.00,$12.00,Small,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
86,35,Green_Garden_M,1,01/01/2015,01/01/2015,01/01/2015,,4:32 pm,$16.00,$16.00,Medium,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
87,35,Pep_Msh_Pep_L,1,01/01/2015,01/01/2015,01/01/2015,,4:32 pm,$17.50,$17.50,Large,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza"
88,35,Pepperoni_M,1,01/01/2015,01/01/2015,01/01/2015,,4:32 pm,$12.50,$12.50,Medium,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
89,35,Thai_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,4:32 pm,$20.75,$20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
90,36,Bbq_Ckn_M,1,01/01/2015,01/01/2015,01/01/2015,,4:54 pm,$16.75,$16.75,Medium,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
91,36,Classic_Dlx_M,1,01/01/2015,01/01/2015,01/01/2015,,4:54 pm,$16.00,$16.00,Medium,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
92,37,Ital_Supr_L,1,01/01/2015,01/01/2015,01/01/2015,,4:56 pm,$20.75,$20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
93,37,Mexicana_L,1,01/01/2015,01/01/2015,01/01/2015,,4:56 pm,$20.25,$20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
94,38,Hawaiian_S,1,01/01/2015,01/01/2015,01/01/2015,,5:03 pm,$10.50,$10.50,Small,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
95,38,Ital_Cpcllo_L,1,01/01/2015,01/01/2015,01/01/2015,,5:03 pm,$20.50,$20.50,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
96,39,Ital_Supr_L,1,01/01/2015,01/01/2015,01/01/2015,,5:07 pm,$20.75,$20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
97,40,Four_Cheese_L,1,01/01/2015,01/01/2015,01/01/2015,,5:14 pm,$17.95,$17.95,Large,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
98,40,Southw_Ckn_S,1,01/01/2015,01/01/2015,01/01/2015,,5:14 pm,$12.75,$12.75,Small,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza
99,41,Four_Cheese_M,1,01/01/2015,01/01/2015,01/01/2015,,5:15 pm,$14.75,$14.75,Medium,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
100,41,Green_Garden_S,1,01/01/2015,01/01/2015,01/01/2015,,5:15 pm,$12.00,$12.00,Small,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
101,42,Big_Meat_S,1,01/01/2015,01/01/2015,01/01/2015,,5:28 pm,$12.00,$12.00,Small,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
102,42,Five_Cheese_L,1,01/01/2015,01/01/2015,01/01/2015,,5:28 pm,$18.50,$18.50,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
103,42,Mexicana_L,1,01/01/2015,01/01/2015,01/01/2015,,5:28 pm,$20.25,$20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
104,42,Peppr_Salami_M,1,01/01/2015,01/01/2015,01/01/2015,,5:28 pm,$16.50,$16.50,Medium,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza
105,43,Ckn_Alfredo_M,1,01/01/2015,01/01/2015,01/01/2015,,5:38 pm,$16.75,$16.75,Medium,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza
106,43,Ital_Supr_M,1,01/01/2015,01/01/2015,01/01/2015,,5:38 pm,$16.50,$16.50,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
107,43,Peppr_Salami_L,1,01/01/2015,01/01/2015,01/01/2015,,5:38 pm,$20.75,$20.75,Large,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza
108,44,Spin_Pesto_S,1,01/01/2015,01/01/2015,01/01/2015,,5:54 pm,$12.50,$12.50,Small,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza
109,45,Four_Cheese_L,1,01/01/2015,01/01/2015,01/01/2015,,5:55 pm,$17.95,$17.95,Large,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
110,45,Hawaiian_S,1,01/01/2015,01/01/2015,01/01/2015,,5:55 pm,$10.50,$10.50,Small,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
111,45,Thai_Ckn_M,1,01/01/2015,01/01/2015,01/01/2015,,5:55 pm,$16.75,$16.75,Medium,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
112,46,Ckn_Pesto_L,1,01/01/2015,01/01/2015,01/01/2015,,6:25 pm,$20.75,$20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza
113,46,Classic_Dlx_L,1,01/01/2015,01/01/2015,01/01/2015,,6:25 pm,$20.50,$20.50,Large,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
114,46,Thai_Ckn_M,1,01/01/2015,01/01/2015,01/01/2015,,6:25 pm,$16.75,$16.75,Medium,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
115,47,Southw_Ckn_L,1,01/01/2015,01/01/2015,01/01/2015,,6:26 pm,$20.75,$20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza
